Fecha,Hora,artistName,trackName,msPlayed,Fuente
2023-05-31,19:51,Frank Ocean,Pink + White,32426,A
2023-05-31,19:51,Rhye,Song For You,3690,A
2023-05-31,19:51,Drake,Massive,2325,A
2023-05-31,19:51,Drake,Chicago Freestyle (feat. Giveon),180458,A
2023-05-31,19:51,Drake,In My Feelings,1493,A
2023-05-31,19:51,Anderson .Paak,Miss Right,1002,A
2023-05-31,19:51,Future,Life Is Good (feat. Drake),1834,A
2023-05-31,19:53,J. Cole,No Role Modelz,10172,A
2023-05-31,19:53,Dominic Fike,Babydoll,97960,A
2023-05-31,19:53,Anderson .Paak,'Til It's Over,7189,A
2023-05-31,19:53,French Montana,Unforgettable,1856,A
2023-05-31,19:53,Drake,Passionfruit,682,A
2023-05-31,19:53,Kanye West,Homecoming,661,A
2023-06-01,18:12,Anderson .Paak,'Til It's Over,88981,A
2023-06-01,18:15,ROSALÍA,BESO,194543,A
2023-06-01,18:18,Emilia,Jagger.mp3,155861,A
2023-06-01,18:21,Feid,Classy 101,195986,A
2023-06-01,18:24,Lola Indigo,EL TONTO,184775,A
2023-06-01,18:24,Quevedo,YANKEE,1306,A
2023-06-01,18:29,Feid,Feliz Cumpleaños Ferxxo,1416,A
2023-06-01,18:29,Anderson .Paak,'Til It's Over,831,A
2023-06-01,18:29,Shakira,Acróstico,1230,A
2023-06-01,18:32,Feid,Normal,4161,A
2023-06-01,18:32,Emilia,Jagger.mp3,155522,A
2023-06-01,18:34,LiL CaKe,MERCHO,161451,A
2023-06-01,18:35,KAROL G,TQG,766,A
2023-06-01,18:35,Manuel Turizo,La Bachata,859,A
2023-06-01,18:35,Big One,Un Finde | CROSSOVER #2,23,A
2023-06-01,18:35,The La Planta,DISCOTEKA (feat. Locura Mix),603,A
2023-06-01,18:35,The La Planta,DISCOTEKA (feat. Locura Mix),859,A
2023-06-01,18:35,The La Planta,DISCOTEKA (feat. Locura Mix),696,A
2023-06-01,18:35,Eladio Carrion,Coco Chanel,325,A
2023-06-01,18:35,Eladio Carrion,Coco Chanel,0,A
2023-06-01,18:35,ECKO,Te Escapas De Mis Brazos (Remix),557,A
2023-06-01,18:35,Feid,Niña Bonita,34446,A
2023-06-01,18:39,ECKO,Te Escapas De Mis Brazos (Remix),217826,A
2023-06-01,18:41,Big One,Un Finde | CROSSOVER #2,162500,A
2023-06-01,18:44,TINI,Cupido,174369,A
2023-06-01,18:47,Feid,Classy 101,195986,A
2023-06-01,18:51,La Joaqui,Amanecemos,198183,A
2023-06-01,18:52,Eslabon Armado,Ella Baila Sola,98983,A
2023-06-01,18:55,BM,M.A (Mejores Amigos),158309,A
2023-06-01,18:58,Ke Personajes,Pobre Corazón - En Vivo,198930,A
2023-06-01,19:02,Yandel,Yandel 150,216148,A
2023-06-01,19:09,Ke Personajes,Si No Te Tengo / Ángel / Aquello Que Pasó,428438,A
2023-06-01,19:11,Nicki Nicole,DISPARA ***,143935,A
2023-06-01,19:14,Lauty Gram,Vida Gangster,170058,A
2023-06-01,19:18,BM,M.A - Remix,272727,A
2023-06-01,19:21,Luck Ra,Ya No Vuelvas (Versión Cuarteto),204000,A
2023-06-01,19:25,Bad Bunny,WHERE SHE GOES,231704,A
2023-06-01,19:29,Cris Mj,Marisola - Remix,237473,A
2023-06-01,19:30,WOS,ARRANCARMELO,52728,A
2023-06-01,19:33,ROSALÍA,BESO,194935,A
2023-06-01,19:35,Taiu,Rara Vez,128677,A
2023-06-01,19:36,Feid,Normal,905,A
2023-06-01,19:39,LiL CaKe,MERCHO,161451,A
2023-06-01,19:42,Feid,Niña Bonita,187653,A
2023-06-01,19:44,KAROL G,TQG,5619,A
2023-06-01,19:44,Manuel Turizo,La Bachata,111886,A
2023-06-01,19:44,Travis Scott,goosebumps,2136,A
2023-06-01,19:47,YNW Melly,Murder On My Mind,171966,A
2023-06-01,19:51,Drake,Signs,234373,A
2023-06-01,19:52,Dominic Fike,Babydoll,97960,A
2023-06-01,19:54,Kendrick Lamar,LOYALTY. FEAT. RIHANNA.,10657,A
2023-06-01,19:54,Mura Masa,Love$ick (feat. A$AP Rocky),88859,A
2023-06-01,19:56,Frank Ocean,Nights,100054,A
2023-06-01,19:59,Frank Ocean,Chanel,210285,A
2023-06-01,20:04,J. Cole,No Role Modelz,859,A
2023-06-01,20:04,Kanye West,Only One,268686,A
2023-06-01,20:04,J. Cole,Wet Dreamz,882,A
2023-06-01,20:08,J. Cole,No Role Modelz,265357,A
2023-06-01,20:08,J. Cole,Wet Dreamz,8753,A
2023-06-01,20:12,Intoxicados,Nunca quise,64,A
2023-06-01,20:12,Intoxicados,Nunca quise,1109,A
2023-06-01,20:12,Intoxicados,Nunca quise,234,A
2023-06-01,20:12,Intoxicados,Nunca quise,63,A
2023-06-01,20:12,Intoxicados,Nunca quise,85,A
2023-06-01,20:12,Intoxicados,Nunca quise,405,A
2023-06-01,20:12,Intoxicados,Nunca quise,106,A
2023-06-01,20:12,Intoxicados,Nunca quise,213,A
2023-06-01,20:12,Intoxicados,Nunca quise,341,A
2023-06-01,20:12,Intoxicados,Nunca quise,149,A
2023-06-01,20:12,Intoxicados,Nunca quise,5568,A
2023-06-01,20:12,Intoxicados,Nunca quise,831,A
2023-06-01,20:12,Intoxicados,Nunca quise,170,A
2023-06-01,20:12,Intoxicados,Nunca quise,206449,A
2023-05-31,15:10,Declan McKenna,"Daniel, You're Still a Child",238920,B
2023-05-31,15:14,KALEO,All the Pretty Girls,269893,B
2023-05-31,15:15,Indios,Ya Pasó,60636,B
2023-05-31,15:18,The Strokes,The Adults Are Talking,4610,B
2023-05-31,15:18,Lorde,Royals,13260,B
2023-05-31,15:18,Jason Mraz,I'm Yours,158590,B
2023-05-31,15:18,George Harrison,Beware of Darkness - 2014 Remaster,4690,B
2023-05-31,16:40,Radiohead,Reckoner,26659,B
2023-05-31,16:40,The Strokes,You Only Live Once,189226,B
2023-05-31,16:45,Thirdstory,Only Love,238453,B
2023-05-31,16:51,Bon Iver,Blindsided,329266,B
2023-05-31,16:51,Tove Lo,2 Die 4,9922,B
2023-06-01,10:35,Tove Lo,2 Die 4,640,B
2023-06-01,11:02,Led Zeppelin,Stairway to Heaven - Remaster,5600,B
2023-06-01,11:02,Danny Ocean,Volare,6026,B
2023-06-01,11:02,The Black Skirts,EVERYTHING,29930,B
2023-06-01,11:02,Nick Jonas & The Administration,Who I Am,354117,B
2023-06-01,11:05,Ciro y los Persas,Me Gusta,167250,B
2023-06-01,11:05,Dean Martin,Volare (Nel Blu Di Pinto Di Blu) - Remastered 1998,16840,B
2023-06-01,11:06,Quevedo,WANDA,13360,B
2023-06-01,11:06,TINI,Quiero Volver,9260,B
2023-06-01,11:08,Lianne La Havas,They Could Be Wrong,141860,B
2023-06-01,11:08,Pescado Rabioso,Cementerio Club,5750,B
2023-06-01,11:12,Arath Herce,Quiero Sentirlo Todo,220629,B
2023-06-01,11:13,The Beatles,Dear Prudence - Remastered 2009,6227,B
2023-06-02,02:12,Cha Se-Eun,Chihiro,26965,B
2023-06-02,02:13,Anderson .Paak,Come Home (feat. André 3000),41941,B
2023-06-02,02:13,Liana Flores,rises the moon,16362,B
2023-06-02,02:41,Cambia Tu Mente Y Podrás Cambiar Tu Vida," Libera la tensión acumulada relaja tu mente, libre de estrés.",1675776,B
2023-06-02,10:46,The Beatles,Rock And Roll Music - Remastered 2009,2880,B
2023-06-02,10:49,NAFTA,Quiero Verte,7380,B
2023-06-02,10:49,Nick Jonas & The Administration,Who I Am,172590,B
2023-06-02,10:49,La Beriso,Madrugada,9660,B
2023-06-02,10:50,Mac Miller,Come Back to Earth,5080,B
2023-06-02,10:50,ODESZA,The Last Goodbye,4750,B
2023-06-02,10:50,Kevin Kaarl,Amor Viejo,46430,B
2023-06-02,10:51,Mac DeMarco,My Kind of Woman,1240,B
2023-06-02,10:51,David Guetta,Titanium (feat. Sia),1000,B
2023-06-02,10:51,The Strokes,Under Control,1020,B
2023-06-02,10:51,Coti,Nada Fue Un Error,1040,B
2023-06-02,10:51,Queen,Crazy Little Thing Called Love - Remastered 2011,790,B
2023-06-02,10:51,The Smiths,Heaven Knows I'm Miserable Now - 2011 Remaster,960,B
2023-06-02,10:51,Declan McKenna,"Eventually, Darling",1890,B
2023-06-02,10:51,Queen,Don't Stop Me Now - Remastered 2011,1050,B
2023-06-02,10:51,Adele,I'll Be Waiting,6880,B
2023-06-02,10:51,Axel,Te Voy A Amar,4690,B
2023-06-02,10:51,Vance Joy,Riptide,1770,B
2023-06-02,10:51,The Strokes,Barely Legal,1080,B
2023-06-02,10:51,Mac Miller,What's the Use?,970,B
2023-06-02,10:51,Bon Iver,"Hey, Ma",1210,B
