endTime,artistName,trackName,msPlayed
2023-05-31 10:40,Fito Paez,A Rodar Mi Vida - EADDA9223 (feat. David Lebón & Leiva),144656
2023-05-31 22:40,Fito Paez,A Rodar Mi Vida - EADDA9223 (feat. David Lebón & Leiva),4544
2023-05-31 22:41,Fito Paez,El Amor Después del Amor - EADDA9223,62271
2023-05-31 22:42,Kate Bush,Running Up That Hill (A Deal With God),70015
2023-05-31 22:43,Kate Bush,Wuthering Heights,43157
2023-05-31 22:46,Sunni Colón,UNIVERSE 4 TWO,159424
2023-05-31 22:48,maye,Tú,161322
2023-05-31 22:48,ROSALÍA,BESO,2645
2023-05-31 22:48,Selecta,Tu Nombre - Remix - Bonus Track,3007
2023-05-31 22:49,Gustavo Cerati,Camuflaje,16597
2023-05-31 22:51,C. Tangana,Demasiadas Mujeres,153960
2023-05-31 22:52,C. Tangana,Tú Me Dejaste De Querer,59522
2023-05-31 22:55,Varese,Dormido - Franzizca Remix,128938
2023-05-31 22:56,Franzizca,90s,95722
2023-05-31 22:59,C. Tangana,Tú Me Dejaste De Querer,172864
2023-05-31 23:02,TAICHU,NOCHE DE SATEO,173238
2023-05-31 23:06,Hayden James,Something About You,225181
2023-05-31 23:08,Madelline,dopamine,114990
2023-05-31 23:09,Claptone,Dear Life,50922
2023-05-31 23:10,Sofi Tukker,Jacaré,49194
2023-05-31 23:12,Chris Lake,Beggin',127338
2023-05-31 23:15,RÜFÜS DU SOL,Sundream,183045
2023-05-31 23:17,C. Tangana,Nominao,92223
2023-06-01 01:27,Jesse Baez,Honey,11029
2023-06-01 01:51,Nsqk,De Vez en Cuando (Aparece),3178
2023-06-01 09:52,Nsqk,De Vez en Cuando (Aparece),110031
2023-06-01 09:53,Nsqk,Árbol De Manzanas,67562
2023-06-01 09:54,Nsqk,309,35456
2023-06-01 09:54,Nsqk,De Vez en Cuando (Aparece),1301
2023-06-01 09:55,Nsqk,Tonos de Azul,90431
2023-06-01 09:56,Nsqk,¿Pa Qué La Hacemos De Pedo?,51754
2023-06-01 09:58,Nsqk,Árbol De Manzanas,114282
2023-06-01 10:00,Jesse Baez,Honey,110997
2023-06-01 10:00,Feid,Le Pido a DIOS,6442
2023-06-01 10:01,Jesse Baez,No Jaló,2197
2023-06-01 10:01,Jesse Baez,Monte Carlo,37034
2023-06-01 10:03,Jesse Baez,ZACAPA SPONSOR ME,154813
2023-06-01 10:05,Jesse Baez,Cosas De Antes,99309
2023-06-01 10:08,Paco Amoroso,Viuda Negra,198085
2023-06-01 10:12,Bizarrap,"Peso Pluma: Bzrp Music Sessions, Vol. 55",190803
